"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"durban campus","IT","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Java;JavaScript;Lua;Python;SQL;TypeScript","Cassandra;H2;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;Hetzner","AngularJS;Node.js;Spring Boot","Oil & Gas","ChatGPT","Adrenaline;Tabnine","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;SQL;TypeScript","Elasticsearch;Microsoft SQL Server;SQLite","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery","Financial Services","ChatGPT;Google Bard AI","Rubber Duck.AI","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","MySQL;Supabase","Netlify;Vercel","jQuery;Node.js;Nuxt.js;React;Vue.js;WordPress","Oil & Gas","ChatGPT","Codeium;GitHub Copilot","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;TypeScript","MongoDB","Amazon Web Services (AWS);Google Cloud","Angular;Node.js","Retail and Consumer Services","ChatGPT","Adrenaline;Synk Code;Whispr AI","Independent contractor, freelancer, or self-employed"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;Python","MongoDB","Cloudflare;Hetzner","FastAPI","Higher Education","Bing AI;ChatGPT","Replit Ghostwriter","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","MySQL","Amazon Web Services (AWS)","Angular;Next.js;Node.js","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript","Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure","Angular;AngularJS;Express;Laravel;Node.js;Spring Boot","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL","Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Firebase;Google Cloud;Managed Hosting","Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress","Advertising Services","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Primary/elementary school","HTML/CSS;JavaScript;PHP","MongoDB;MySQL","Amazon Web Services (AWS);Netlify","Angular;Express;Node.js;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net)","MariaDB;Microsoft SQL Server;MongoDB;MySQL","Google Cloud;Heroku;Microsoft Azure;Netlify;VMware","ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress","Insurance","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time"
"durban campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript","Cockroachdb;Cosmos DB;Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Redis","Digital Ocean;Microsoft Azure","Angular;AngularJS;Spring Boot;Vue.js;WordPress","Insurance","Bing AI;ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel","Express;Node.js","Other","ChatGPT","Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;JavaScript;SQL","Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;Replit Ghostwriter","Employed, full-time"
"nelson mandela bay campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript","MySQL","Microsoft Azure","Express;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, part-time"
"pretoria campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript","InfluxDB;Microsoft SQL Server;MongoDB;PostgreSQL;RavenDB;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","ASP.NET CORE;Blazor;NestJS;Node.js;React","Healthcare","Bing AI;ChatGPT;Phind","AWS CodeWhisperer;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C#;HTML/CSS;MATLAB;Python;R;SQL","Microsoft SQL Server;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware","FastAPI","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"durban campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python;SQL;TypeScript","Cosmos DB;PostgreSQL;Solr","Microsoft Azure;Scaleway","FastAPI;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;AWS CodeWhisperer","Employed, full-time;Student, full-time"
"durban campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;TypeScript","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Vue.js","Other","Bing AI;ChatGPT","Rubber Duck.AI","Employed, full-time"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;TypeScript;Visual Basic (.Net)","Cosmos DB;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Render;Vercel","Deno;Next.js;Node.js;React;Ruby on Rails;Vue.js","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript","MySQL","Amazon Web Services (AWS)","jQuery;Play Framework;React","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript","Cloud Firestore;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Firebase;Netlify;Vercel","Next.js;React","Oil & Gas","ChatGPT;You.com","Mintlify;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"pretoria campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase","Angular;AngularJS;CodeIgniter;Laravel","Healthcare","ChatGPT;Google Bard AI","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET;jQuery","Oil & Gas","Bing AI;ChatGPT","Tabnine;Whispr AI","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Java;Kotlin;PowerShell;SQL;TypeScript","Microsoft SQL Server;PostgreSQL","Hetzner;Oracle Cloud Infrastructure (OCI)","ASP.NET;jQuery;Spring Boot","Other","ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, part-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C++;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript","Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Heroku;Vercel;VMware","Django;Flask;NestJS;Next.js;Node.js;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;Google Bard AI","Mintlify","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL;SQLite","Digital Ocean;Hetzner;Microsoft Azure","Angular;Django;FastAPI;Gatsby;Node.js;Vue.js","Advertising Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"pretoria campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Firebase;Heroku;Netlify","Express;Fastify;Node.js","Oil & Gas","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;Java;JavaScript;PHP","MariaDB;MySQL;PostgreSQL","Hetzner","Node.js;Symfony;Vue.js;WordPress","Insurance","ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;TypeScript","Elasticsearch;MongoDB;MySQL","Hetzner;Microsoft Azure","Angular;ASP.NET;Express;Flask;Node.js;React;Vue.js;WordPress","Financial Services","Bing AI;ChatGPT","Codeium;Synk Code;Whispr AI","Independent contractor, freelancer, or self-employed"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","C#;Java;JavaScript;Python","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"durban campus","IT","I used to be a developer by profession, but no longer am","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;Python;SQL","Microsoft SQL Server","Amazon Web Services (AWS)","ASP.NET;Node.js","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"pretoria campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Groovy;Java;JavaScript;Python;TypeScript","Dynamodb;H2;MySQL;Oracle","Amazon Web Services (AWS);VMware","Express;Flask;Node.js;Spring Boot","Financial Services","ChatGPT","Whispr AI","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, back-end","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;Python;SQL","Microsoft SQL Server;PostgreSQL","Heroku","Django;FastAPI","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"bloemfontein campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript","MariaDB;MySQL","Amazon Web Services (AWS);Google Cloud","Angular;Node.js;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, game or graphics","Some college/university study without earning a degree","Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","MySQL;Neo4J;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Managed Hosting;OVH","Laravel;Node.js;React","Other","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MySQL","Digital Ocean;Firebase;Google Cloud;VMware","jQuery;React;Symfony","Retail and Consumer Services","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL","Digital Ocean","Express;Laravel;Node.js;Vue.js","Insurance","ChatGPT","Adrenaline;Synk Code;Whispr AI","Employed, full-time"
"pretoria campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","Elasticsearch;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Laravel;Nuxt.js;Vue.js","Financial Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","PostgreSQL","Digital Ocean;Google Cloud","Angular;Django;Node.js;Spring Boot","Wholesale","Bing AI;ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"pretoria campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Blazor","Legal Services","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed, full-time"
"nelson mandela bay campus","IT","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;TypeScript","Cassandra;Elasticsearch;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure;Netlify;OpenShift","Spring Boot;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;Perplexity AI","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"durban campus","IT","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++","MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare","Django;Flask","Oil & Gas","Andi","Adrenaline;Mintlify","Employed, full-time"
"vanderbijlpark campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL","Neo4J","Amazon Web Services (AWS)","Drupal;WordPress","Retail and Consumer Services","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Python","MongoDB;SQLite","Firebase","Flask;React","Financial Services","ChatGPT","Tabnine;Whispr AI","Not employed, but looking for work"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;Swift;TypeScript","Dynamodb;PostgreSQL;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean","React;Spring Boot","Other","ChatGPT","GitHub Copilot;Synk Code","Employed, full-time;Student, part-time"
"durban campus","Data Science","I am learning to code","Student","Some college/university study without earning a degree","HTML/CSS;JavaScript;Python;Ruby","MySQL;PostgreSQL","Google Cloud;Netlify;Render","Next.js;Node.js;React","Other","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Not employed, but looking for work"
"pretoria campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS)","AngularJS;Node.js;React","Financial Services","ChatGPT;Phind","Rubber Duck.AI;Tabnine","Employed, full-time"
"bloemfontein campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Dart;HTML/CSS;JavaScript;PHP;TypeScript","Firebase Realtime Database;MongoDB;MySQL","Firebase","Express;jQuery;Node.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"pretoria campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;TypeScript","PostgreSQL","Linode, now Akamai;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Engineering manager","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","PHP","MySQL","Amazon Web Services (AWS)","Laravel","Advertising Services","ChatGPT","Mintlify;Synk Code","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;Python","Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Supabase","Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Vercel","ASP.NET CORE;Play Framework;Spring Boot;WordPress","Retail and Consumer Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"durban campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;PowerShell;SQL;Visual Basic (.Net)","Cloud Firestore;Elasticsearch;Microsoft Access;Microsoft SQL Server;MySQL;Neo4J;Oracle","Amazon Web Services (AWS);Microsoft Azure;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Haskell;JavaScript;Python;Ruby;Rust;Scala;TypeScript","Dynamodb;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase","Amazon Web Services (AWS);Firebase;Fly.io;Google Cloud;Heroku;Microsoft Azure;Vercel","Deno;Express;Fastify;NestJS;Next.js;Node.js;Nuxt.js;React;Svelte;Vue.js","Higher Education","Bing AI;ChatGPT;WolframAlpha","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time;Student, part-time"
"nelson mandela bay campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;HTML/CSS;Java;JavaScript;Kotlin;SQL","H2;PostgreSQL;SQLite","Digital Ocean;Hetzner;Microsoft Azure","jQuery;Spring Boot","Financial Services","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
